Link,Preis,Beschreibung,Details,Adresse,Features,Vollständige_Adresse,Latitude,Longitude,created_date,closed_date,Preis_cleaned,Wohnfläche,Grundstücksfläche,Zimmer,Preis_pro_qm
https://www.immowelt.de/expose/63785cd3-415e-41ab-b688-6ee81fc8d954,465.000 € 2.657 €/m²,Bungalow zum Kauf,175 m²·328 m² Grundstück,"Mariahof 2, Trier (54296)","Garage; Badezimmer: Badewanne, Bad mit Fenster; Gäste-WC; voll unterkellert; Terrasse; Bodenbelag: Fliesen, Parkett",Keine Adresse gefunden,,,2024-12-31,,465000.0,175.0,328.0,,2657.1428571428573
https://www.immowelt.de/expose/67fc1f42-b81f-4f5d-9f3e-db7253b2a369,Preis auf Anfrage,Wohnung zum Kauf,3 Zimmer·92 m²·2. Geschoss,"Alt-Heiligkreuz 1, Trier (54295)","Tiefgarage; Balkon; 2. Geschoss; Bad mit Fenster; Bad/WC getrennt; Bodenbelag: Fliesen, Parkett",Keine Adresse gefunden,,,2024-12-31,,,92.0,,3.0,
https://www.immowelt.de/expose/ca5b7f98-59a1-4251-8e31-1b5379772940,1.700.000 € 3.091 €/m²,Mehrfamilienhaus zum Kauf,550 m²·884 m² Grundstück,"Matthias 2, Trier (54294)","Garage, 12 Außen-Stellplätze; Balkon; Garten",Keine Adresse gefunden,,,2024-12-31,,1700000.0,550.0,884.0,,3090.909090909091
https://www.immowelt.de/expose/61fc7b2f-c9a4-4239-8ce6-e57557aab305,690.000 €,Einfamilienhaus zum Kauf,5 Zimmer·1.058 m² Grundstück,"Matthias 2, Trier (54294)","ab März; 2 Stellplätze: Garage, 2 Außen-Stellplätze; Balkon; Garten",Keine Adresse gefunden,,,2024-12-31,,690000.0,1058.0,1058.0,5.0,652.1739130434783
https://www.immowelt.de/expose/15d76adf-e8e9-4d91-bb57-9332e9a9d02e,249.000 € 4.984 €/m²,Penthouse zum Kauf,2 Zimmer·50 m²,"Altstadt 5, Trier (54290)","2000er; Außen-Stellplatz, Tiefgarage; Personenaufzug; Balkon; 4. Geschoss; Bad mit Dusche; Waschraum; Einbauküche",Keine Adresse gefunden,,,2024-12-31,,249000.0,50.0,,2.0,4980.0
https://www.immowelt.de/expose/e8c690cd-875c-4a94-bf5c-44513638624c,559.000 € 3.937 €/m²,Wohnung zum Kauf,"4,5 Zimmer·142 m²","Altstadt 6, Trier (54290)","sofort; Balkon; 3. Geschoss; Badezimmer: Badewanne, Bad mit Fenster; WG-geeignet; Einbauküche, Speisekammer; Gartenanteil, Garten, Gartenmitbenutzung; Kelleranteil",Keine Adresse gefunden,,,2024-12-31,,559000.0,142.0,,4.5,3936.6197183098593
https://www.immowelt.de/expose/330f5fc4-d639-4dee-adf7-85d473b1374e,Preis auf Anfrage,Haus zum Kauf,225 m²·422 m² Grundstück·frei ab sofort,"Memelstraße 17, Neu-Heiligkreuz 1, Trier (54295)","sofort frei.; Garage, Außen-Stellplatz; Kelleranteil; ausgebautes Dach; Terrasse",Keine Adresse gefunden,,,2024-12-31,,,225.0,422.0,,
https://www.immowelt.de/expose/1e1fbfa0-3ad4-4e1e-91ef-ead928807a7a,220.000 € 3.487 €/m²,Wohnung zum Kauf,"2 Zimmer·63,1 m²·2. Geschoss","Matthias 2, Trier (54290)",nach Vereinbarung; Balkon; 2. Geschoss,Keine Adresse gefunden,,,2024-12-31,,220000.0,63.1,,2.0,3486.529318541997
https://www.immowelt.de/expose/beeb6f1d-c430-4e96-b873-30b912e0ad12,660.000 € 3.084 €/m²,Haus zum Kauf,214 m²,"Zeughausstraße, Maximin 1, Trier (54292)",voll unterkellert; Fenster: Kunststoff; als Kapitalanlage geeignet; vermietet,Keine Adresse gefunden,,,2024-12-31,,660000.0,214.0,,,3084.11214953271
https://www.immowelt.de/expose/d1e139e4-1e27-4f23-81d3-439d319e21c0,640.000 €,Mehrfamilienhaus zum Kauf,Keine Info,"Maximin 5, Trier (54292)",,Keine Adresse gefunden,,,2024-12-31,,640000.0,,,,
